Question	Answer	Tags
RocketMQ 的延迟消息是如何实现的？支持哪些延迟等级？	18 个固定延迟等级：`1s/5s/10s/30s/1m/2m/3m/4m/5m/6m/7m/8m/9m/10m/20m/30m/1h/2h`。`message.setDelayTimeLevel(level)` 设置。实现原理：Broker 将延迟消息写入延迟 Topic（`SCHEDULE_TOPIC_XXXX`），每个延迟等级对应一个队列，定时任务每秒扫描，到期后转投到原 Topic。注意：延迟消息不支持二次修改延迟等级，时间只能精确到秒级。	stack::rocketmq::速记
RocketMQ、Kafka、RabbitMQ 的核心差异是什么？如何选型？	RocketMQ：事务消息、延迟消息、死信队列、顺序消息、TB 级消息堆积，适合 Java 生态、金融交易。Kafka：超高性能（百万级 TPS）、日志持久化、流式处理（Kafka Streams），适合日志收集、大数据管道、事件溯源。RabbitMQ：轻量级、灵活路由（Exchange + Binding）、管理界面友好，适合中小规模、业务系统集成。选型：需要事务消息→RocketMQ；需要大数据流处理→Kafka；简单消息路由→RabbitMQ。	stack::rocketmq::速记
Elasticsearch 的倒排索引是如何工作的？为什么比正向索引快？	倒排索引以词条（Term）为键，映射到包含该词条的文档 ID 列表（Posting List）和词频/位置等信息。搜索时，先分词得到 Term，直接定位到包含该 Term 的文档，无需遍历所有文档。正向索引（文档→词条）需要遍历每篇文档再分词匹配，效率低。倒排索引还支持 TF-IDF/BM25 评分、短语查询（通过位置信息）。ES 还使用 FST（Finite State Transducer）压缩 Term Dictionary，支持高效的前缀搜索。	stack::elasticsearch
Elasticsearch 中文场景下如何选择分词器？	默认 Standard 分词器对中文逐字切分（一个字一个 Term），搜索效果差。生产推荐 IK 分词器（`ik_smart` 粗粒度，`ik_max_word` 细粒度）。`ik_max_word` 穷尽所有可能词（如""中华人民共和国""→中华/华人/人民/共和国等），用于索引；`ik_smart` 最粗粒度切分，用于搜索。其他分词器：`pinyin`（拼音搜索，如""zgr""→""中国人""）、`jieba`（结巴分词）、`THULAC`（清华分词）。自定义词典：`IKAnalyzer.cfg.xml` 配置扩展词典或停用词典。	stack::elasticsearch::速记
ES 的 Query DSL 有哪些常见查询类型？	叶子查询：`match`（全文匹配，分词后匹配）、`term`（精确匹配，不分词）、`range`（范围查询）、`exists`（字段存在性）、`prefix`（前缀查询）、`wildcard`（通配符，性能差）。复合查询：`bool`（must：AND，should：OR，must_not：NOT，filter：过滤不评分）。`match` 和 `term` 的区别：`match` 对查询值分词，`term` 整体匹配倒排索引中的精确 Term。	stack::elasticsearch::代码
bool 查询中 must / should / filter / must_not 的执行顺序和评分影响是什么？	执行顺序：filter/must_not（先过滤，无评分）→ must（计算评分，贡献分数）→ should（可选，minimum_should_match 控制最少匹配数）。filter 的结果被缓存（bitset 缓存），适合范围过滤。示例：`{""bool"": {""must"": [{""match"": {""title"": ""手机""}}], ""filter"": [{""term"": {""status"": 1}}, {""range"": {""price"": {""gte"": 1000, ""lte"": 5000}}}]}}`。filter 不评分减少算力消耗，must 评分用于排序。	stack::elasticsearch::代码
ES 的聚合分析有哪些类型？如何实现嵌套聚合？	桶聚合（Bucket）：`terms`（词条分组）、`range`（范围分组）、`date_histogram`（日期直方图）。指标聚合（Metric）：`avg`、`sum`、`max`、`min`、`stats`（统计摘要）、`cardinality`（去重计数，近似值）。管道聚合（Pipeline）：`bucket_script`（在聚合结果上执行脚本）。嵌套聚合：`{""aggs"": {""group_by_color"": {""terms"": {""field"": ""color""}, ""aggs"": {""avg_price"": {""avg"": {""field"": ""price""}}}}}}`。先按 color 分组，再计算每组平均价格。	stack::elasticsearch::代码
ES 中文档是如何路由到分片的？自定义路由有什么作用？	默认路由：`shard = hash(_routing) % number_of_shards`，`_routing` 默认等于 `_id`。自定义路由：索引时指定 `?routing=user123`，同一个 routing 值的文档落入同一分片，支持批量查询（`search?routing=user123` 只查一个分片）。优点：查询效率高（只查一个分片）、支持 Join 类型（同一分片内关联）。缺点：数据可能分布不均，需要合理设计 routing 值的基数。注意：主分片数创建后不可修改，否则路由公式变化导致数据错位。	stack::elasticsearch
ES 集群的健康状态有哪些？Master 节点如何选举？	健康状态：green（所有主分片和副本分片正常）、yellow（主分片正常，部分副本未分配）、red（存在未分配的主分片，数据丢失风险）。Master 选举：7.x 之前基于 Zen Discovery（`discovery.zen.minimum_master_nodes`），7.x 之后基于投票机制（`cluster.initial_master_nodes`），需要半数以上节点同意才能成为 Master。Master 节点负责集群元数据管理（创建/删除索引、分配分片），不参与数据读写。	stack::elasticsearch::速记
ES 写入一条文档的完整流程是怎样的？	① 协调节点接收请求，路由到主分片节点；② 主分片写入内存 buffer 并记录 translog；③ 主分片转发到副本分片；④ 副本分片写入 buffer 并记录 translog，返回确认；⑤ 主分片收到所有副本确认后返回响应给客户端；⑥ 默认每秒 refresh（buffer → segment，使文档可搜索）；⑦ 默认 30 分钟或 translog 达到阈值时 flush（segment 持久化到磁盘，清空 translog）。refresh 使文档近实时可见（NRT），flush 保证持久化。	stack::elasticsearch
ES 查询性能优化有哪些关键策略？	① 减少查询字段（只返回需要的字段，`_source` 过滤，禁止返回 `*`）；② 使用 filter 而非 must（filter 不评分且缓存 bitset）；③ 批量查询（`_msearch` 或 `mget` 替代多次查询）；④ 索引优化（合理分片数、SSD 磁盘、`index.refresh_interval` 调大减少写入时刷新）；⑤ 路由优化（自定义 routing 减少查询分片数）；⑥ 避免深度分页（`search_after` 替代 `from + size`）；⑦ 开启慢查询日志（`index.search.slowlog.threshold.query.warn`）定位慢查询。	stack::elasticsearch::场景
MySQL 与 ES 数据同步有哪些方案？各有什么优缺点？	① Logstash 定时轮询（JDBC Input Plugin，`schedule => ""* * * * *""`，简单但延迟高，分钟级）；② Canal 监听 binlog 实时推送（低延迟，秒级，需部署 Canal 组件）；③ 应用层双写（写 MySQL 同时写 ES，简单但耦合度高，一致性问题）；④ MQ 异步同步（写 MySQL 后发 MQ 消息，消费者写 ES，解耦但需要保证幂等）。推荐：Canal + MQ 方案，低延迟、解耦、可靠。	stack::elasticsearch::场景
ES 的 Mapping 设计有哪些注意事项？	① 禁用不必要的 `text` 字段的 `fielddata`（内存消耗大）；② 精确值用 `keyword`（不分词），全文搜索用 `text`（分词）；③ `index: false` 禁用不需要搜索的字段（节省存储）；④ `doc_values` 默认开启（排序/聚合用），不需要的字段可关闭（节省磁盘）；⑤ `nested` 类型用于数组对象（保留对象内部关联，但查询性能差）；⑥ 生产环境用显式 Mapping（避免动态映射推断了错误的类型，如时间戳被映射为 text）。	stack::elasticsearch::速记
ES 的索引生命周期管理（ILM）包含哪些阶段？各阶段可执行什么操作？	四个阶段：hot（热，读写活跃，rollover 滚动到新索引）、warm（温，只读不写，收缩到更少分片、强制合并 segment）、cold（冷，只读不写，降低副本数）、delete（删除，到达保留期后删除索引）。每个阶段可配置 `actions`：`rollover`（滚动索引）、`shrink`（收缩分片）、`forcemerge`（合并段）、`allocate`（分配节点）、`set_priority`（设置优先级）、`delete`（删除）。ILM 策略通过 `PUT _ilm/policy/my_policy` 创建，索引模板绑定。	stack::elasticsearch::速记
ES 写入后为什么不能立即搜索到？refresh 和 flush 的区别是什么？	写入的数据先进入 buffer（内存），每 1 秒 refresh 一次，将 buffer 数据生成 segment 并清空 buffer，文档变为可搜索，这就是""近实时""（Near Real Time）。flush 将 segment 从内存持久化到磁盘，并清空 translog。refresh 频率可调（`index.refresh_interval: 30s` 适合批量写入场景），flush 默认 30 分钟或 translog 达到 512MB 触发。`?refresh=wait_for` 等待 refresh 后再返回写入响应。	stack::elasticsearch::速记
Docker 镜像的分层结构是如何工作的？写时复制（Copy-on-Write）如何实现？	Docker 镜像由多层只读层叠加组成，每一层对应 Dockerfile 的一条指令，多个镜像共享相同的基础层。容器启动时在镜像层上加一个可写层（容器层）。写时复制：修改只读层文件时，先将文件复制到可写层再修改，原只读层文件不变，减少空间占用。`docker commit` 将容器层保存为新镜像层。`docker history` 查看镜像分层历史。	stack::docker
多阶段构建解决了什么问题？如何实现？	多阶段构建允许在一个 Dockerfile 中使用多个 `FROM` 指令，每个 FROM 是新阶段，后阶段可以从前阶段复制产物。解决：第一阶段用完整构建环境（如 JDK 编译 JAR，`maven:3.8-eclipse-temurin-17`），第二阶段用最小运行时（如 `eclipse-temurin:17-jre-alpine`），最终镜像只包含运行时和产物，不包含构建工具。示例：`FROM maven:3.8 AS build; COPY . .; RUN mvn package; FROM eclipse-temurin:17-jre-alpine; COPY --from=build target/app.jar .`，镜像体积从 300MB 降到 80MB。	stack::docker::代码
Linux Namespace 如何实现容器隔离？有哪些类型的 Namespace？	Namespace 是 Linux 内核提供的资源隔离机制，将全局资源封装到不同 Namespace 中，进程只能看到自己 Namespace 内的资源。主要类型：PID（进程隔离，容器内看不到宿主机进程）、Network（网络栈隔离，独立 IP/端口）、Mount（文件系统隔离，独立挂载点）、UTS（主机名隔离）、IPC（进程间通信隔离，如信号量）、User（用户 ID 隔离，容器内 root ≠ 宿主机 root）。Cgroup 负责资源限制（CPU/内存），Namespace 负责隔离。	stack::docker
Cgroup 如何限制容器的 CPU 和内存使用？	Cgroup（Control Groups）控制系统资源分配。CPU 限制：`--cpus=1.5` 限制使用 1.5 个核心，底层写 `cpu.cfs_quota_us` 和 `cpu.cfs_period_us`。内存限制：`--memory=512m` 限制最大 512MB，超限触发 OOM Kill。`--memory-reservation=256m` 设置软限制（内存足够时可超过，不足时压缩到该值）。内存是不可压缩资源（超限即 OOM），CPU 是可压缩资源（超限则节流，不影响进程运行）。Cgroup v2（Linux 4.5+）统一管理所有资源。	stack::docker
Docker 默认的存储驱动 OverlayFS 是如何工作的？	OverlayFS 将多个目录叠加挂载为一个目录。Docker 使用 Overlay2（推荐），由 lowerdir（只读镜像层）+ upperdir（可写容器层）+ merged（统一视图）组成。读取文件：先看 upperdir，有则返回，无则查 lowerdir。修改文件：将文件从 lowerdir 复制到 upperdir（Copy-on-Write），然后修改。删除文件：在 upperdir 创建 whiteout 文件（标记删除）。Overlay2 比 AUFS 性能更好（更少的文件描述符，更快的 page cache 共享）。	stack::docker
Docker Compose 的核心三要素是什么？如何保证服务启动顺序？	services（服务定义）、networks（网络定义）、volumes（数据卷定义）。`depends_on` 只保证启动顺序，不等同于服务就绪（如 MySQL 端口已开但初始化未完成）。配合 `healthcheck`：`healthcheck: test: [""CMD"", ""mysqladmin"", ""ping""]; interval: 10s; retries: 5`，使用 `condition: service_healthy` 确保依赖服务就绪后再启动。`restart: unless-stopped` 保证崩溃后自动重启。生产环境建议用 K8s 替代 Compose。	stack::docker::代码
Kubernetes 的核心组件有哪些？它们之间的关系是什么？	Master 节点：API Server（所有操作的入口）、Scheduler（调度 Pod 到 Node）、Controller Manager（控制器，如 DeploymentController、ReplicaSetController）、etcd（分布式存储，集群状态）。Worker 节点：Kubelet（Pod 生命周期管理，和 API Server 通信）、Kube-proxy（网络代理，Service 规则）、Container Runtime（Docker/containerd）。Pod 是调度最小单元，Deployment 管理 Pod 副本，Service 暴露服务，ConfigMap 管理配置，PV/PVC 管理存储。	stack::docker::速记
Pod 的生命周期有哪些阶段？Liveness 和 Readiness 探针的区别？	阶段：Pending（调度中）、Running（容器运行）、Succeeded（任务完成）、Failed（任务失败）、Unknown（状态未知）。Pod 内容器状态：Waiting（等待）、Running（运行）、Terminated（终止）。Liveness 探针：检查容器是否存活，失败则重启容器（`kubectl get pods` 的 RESTARTS 列增加）。Readiness 探针：检查容器是否就绪，失败则从 Service 的 Endpoints 中移除，不接收流量。Startup 探针（K8s 1.18+）：慢启动容器保护，成功前 Liveness/Readiness 不生效。	stack::docker::速记
K8s Service 的四种类型分别适用于什么场景？	ClusterIP（默认）：集群内虚拟 IP，仅集群内部可访问，适合内部服务通信。NodePort：在每个 Node 上开放固定端口（30000-32767），外部可通过 `NodeIP:NodePort` 访问，适合开发测试。LoadBalancer：云提供商（AWS/Azure/GCP）自动创建负载均衡器，分配公网 IP，适合生产环境外部访问。ExternalName：将 Service 映射到外部 DNS（如 `CNAME` 到 `db.example.com`），适合调用外部服务。Ingress：七层路由，基于域名/路径转发到不同 Service，比 LoadBalancer 更灵活。	stack::docker::速记
Ingress 和 Service 的关系是什么？如何配置基于域名的路由？	Ingress 是七层（HTTP/HTTPS）负载均衡器，将外部请求路由到集群内 Service。配置：`spec.rules[].host` 匹配域名，`http.paths[].path` 匹配路径，`backend.service.name` 转发到目标 Service。示例：`nginx.ingress.kubernetes.io/canary: ""true""` 实现灰度发布。Ingress Controller（如 Nginx Ingress、Traefik）是实际的实现组件，Ingress 只是配置规则。TLS 配置：`spec.tls[].hosts` 和 `secretName` 管理 HTTPS 证书。	stack::docker::代码
Docker 镜像安全有哪些最佳实践？	① 使用最小基础镜像（`alpine`、`distroless`，减少攻击面）；② 非 root 运行（`USER 1000`，避免容器内 root 提权）；③ 镜像签名验证（Docker Content Trust / Notary）；④ 定期镜像扫描（Trivy / Clair 扫描 CVE 漏洞）；⑤ `.dockerignore` 排除敏感文件（如 `.env`、`credentials.json`）；⑥ 多阶段构建（构建工具和运行环境分离，构建工具可能包含漏洞）；⑦ 限制容器能力（`--cap-drop=ALL --cap-add=NET_BIND_SERVICE`）。	stack::docker::场景
Docker 容器的日志如何收集和管理？	Docker 默认日志驱动是 `json-file`（文件存储，`docker logs` 查看）。生产环境推荐：`journald`（systemd 日志，集中管理）或 `fluentd`（转发到 ELK）、`gelf`（Graylog 扩展日志格式）、`awslogs`（CloudWatch）。K8s 日志：`kubectl logs` 查看 Pod 日志，DaemonSet 部署 Fluentd/Filebeat 采集，输出到 ES + Kibana 或 Loki + Grafana。容器日志最佳实践：日志输出到 stdout/stderr（不要写文件），由日志收集器统一采集。	stack::docker::场景
Docker 的四种网络模式分别是什么？	bridge（默认，NAT 模式，容器通过虚拟网桥连接，通过 `-p` 端口映射访问外部）；host（共享宿主机网络栈，容器直接使用宿主机 IP/端口，性能好但无隔离）；none（无网络，适合不需要网络的容器，如离线计算）；container（共享其他容器的网络栈，适合 sidecar 模式，如日志收集器共享主应用的网络）。自定义网络的优势：容器名 DNS 解析（`bridge` 模式需要 `--link`，已废弃）、网络隔离（不同自定义网络不能通信）。	stack::docker::速记
Linux 文件权限 `rwxr-xr--` 如何解读？chmod 755 和 644 分别代表什么？	10 位字符：第 1 位文件类型（`-` 文件，`d` 目录，`l` 软链接），后 9 位每 3 位一组（所有者/组/其他）。`rwx`=4+2+1=7（读+写+执行），`r-x`=4+0+1=5（读+执行），`r--`=4+0+0=4（只读）。755：所有者 rwx，组 r-x，其他 r-x（可执行文件/目录）。644：所有者 rw-，组 r--，其他 r--（普通文件）。`chmod u+x file` 给所有者加执行权限，`chmod -R 755 dir` 递归修改。	stack::linux::速记
Linux 进程管理有哪些常用命令？如何定位进程问题？	`ps aux`（查看所有进程，CPU/内存占用）、`top`（实时进程监控，按 P 按 CPU 排序，按 M 按内存排序）、`htop`（增强版 top，交互式）、`kill -9 <pid>`（强制杀死）、`kill -15 <pid>`（优雅终止）。`ps aux --sort=-%cpu`（按 CPU 降序）、`ps aux --sort=-%mem`（按内存降序）。`strace -p <pid>`（跟踪系统调用，定位阻塞原因）、`lsof -p <pid>`（查看进程打开的文件描述符）。`pgrep -f ""java""` 按名称查找进程。	stack::linux::速记
网络故障排查的常用命令和步骤是什么？	步骤：① `ping <host>` 检查网络连通性；② `telnet <host> <port>` 或 `nc -zv <host> <port>` 检查端口是否开放；③ `curl -v http://host:port` 检查 HTTP 服务；④ `traceroute <host>` 路由追踪，定位网络瓶颈；⑤ `netstat -tlnp` 或 `ss -tlnp` 查看监听端口和进程；⑥ `tcpdump -i eth0 port 80` 抓包分析；⑦ `nslookup <domain>` 或 `dig <domain>` DNS 解析排查；⑧ `iptables -L -n` 检查防火墙规则。	stack::linux::代码
Shell 脚本中 `$?`、`$0`、`$@`、`$#` 分别代表什么？	`$?` 上一条命令退出码（0 成功，非 0 失败）。`$0` 脚本名称。`$@` 所有参数列表（以空格分隔）。`$#` 参数个数。`$1`...`$9` 第 1-9 个参数。`set -e` 脚本遇到错误时退出（防止错误继续执行）。`set -x` 调试模式（打印每条命令）。`${var:-default}` 变量默认值。`&&` 和 `||` 短路运算。`trap 'cleanup' EXIT` 脚本退出时执行清理函数。	stack::linux::代码
awk 和 sed 的典型用法是什么？	awk：文本格式化处理，列操作。`awk '{print $1, $3}' file` 打印第 1 和第 3 列。`awk -F: '{print $1}' /etc/passwd` 指定分隔符提取用户名。`awk '$3 > 100 {print $1}'` 条件过滤。`awk '{sum+=$3} END {print sum}'` 求和。sed：流式编辑，行操作。`sed -i 's/old/new/g' file` 全局替换。`sed -n '10,20p' file` 打印 10-20 行。`sed '/^#/d' file` 删除注释行。`sed '5a\new line' file` 在第 5 行后插入。	stack::linux::代码
Linux 系统从开机到登录的完整启动流程是什么？	① BIOS/UEFI 自检，加载启动设备；② Bootloader（GRUB2）加载内核到内存；③ 内核解压，初始化硬件驱动，挂载根文件系统（`initramfs`）；④ 执行 `/sbin/init`（PID=1，systemd 进程）；⑤ systemd 并行启动服务（读取 `.service` 单元文件）；⑥ 执行 `getty` 启动终端，显示登录界面；⑦ 用户登录后启动 Shell 或桌面环境。关键：`systemd-analyze blame` 查看各服务启动耗时，`systemctl list-units --type=service` 查看服务状态。	stack::linux
Linux 虚拟内存是如何工作的？什么是 Swap 交换分区？	虚拟内存通过 MMU（内存管理单元）将进程虚拟地址映射到物理内存。每个进程有独立的 4GB 虚拟地址空间（32 位），实际物理内存按页（4KB）分配。Swap 是磁盘上的一块区域，当物理内存不足时，将闲置的内存页换出到 Swap，释放物理内存给活跃进程。`swappiness`（0-100，默认 60）控制换出倾向：值越小越倾向不换出，值越大越积极换出。`free -h` 查看内存使用，`vmstat 1` 监控 swap 换入换出。频繁 swap 表示内存不足，增加物理内存比依赖 swap 更有效。	stack::linux
Linux 内存不足时 OOM Killer 如何选择要杀死的进程？	OOM Killer 根据 `oom_score` 评分（0-1000）选择分数最高的进程杀死。`oom_score` 基于：进程内存占用（越大分越高）、CPU 占用、进程运行时间（时间越短分越高）、`oom_score_adj` 调整值（-1000 禁 OOM，+1000 优先杀死）。`/proc/<pid>/oom_score` 查看具体分数。关键进程（如 `sshd`）通过 `echo -1000 > /proc/<pid>/oom_score_adj` 保护。`dmesg | grep -i ""killed process""` 查看 OOM 日志。	stack::linux
服务器 CPU 负载过高时如何排查？	① `top` 或 `htop` 查看 CPU 占用高的进程（按 P 排序）；② `ps aux --sort=-%cpu | head -5` 定位最耗 CPU 的前 5 个进程；③ `top -H -p <pid>` 查看进程内哪个线程占用 CPU 高；④ `printf ""%x\n"" <tid>` 将线程 ID 转十六进制；⑤ `jstack <pid> | grep <hex_tid>`（Java 应用）定位代码行；⑥ `perf top -p <pid>` 查看热点函数；⑦ `vmstat 1` 查看 `us/sy/id/wa` 指标（us 用户态，sy 内核态，wa IO 等待）。CPU 负载高不一定是坏事，关键在于是否影响业务延迟。	stack::linux::场景
服务器内存不足时如何排查？	① `free -h` 查看总内存/已用/可用/Swap；② `top` 按 M 排序，查看各进程内存占用；③ `ps aux --sort=-%mem | head -10` 定位前 10 个内存大户；④ `smem` 查看 PSS（实际物理内存占用，去除共享库重复计算）；⑤ `cat /proc/meminfo` 查看详细内存分配（`MemAvailable` 是真实可用内存）；⑥ `pmap -x <pid>` 查看进程内存映射详情；⑦ `dmesg | tail -20` 查看 OOM 日志。Java 应用：`jmap -heap <pid>` 查看堆使用，`jstat -gcutil <pid> 1s` 查看 GC 情况。	stack::linux::场景
磁盘 IO 过高或磁盘空间不足时如何排查？	磁盘空间：`df -h` 查看分区使用率，`du -sh /* | sort -rh | head -10` 定位大目录，`find / -type f -size +100M -exec ls -lh {} \;` 查找大文件。`lsof | grep deleted` 查看已删除但仍被进程占用的文件（释放文件句柄后空间才释放）。磁盘 IO：`iostat -x 1` 查看 `%util`（设备利用率，>80% 应关注）、`await`（IO 等待时间，>10ms 慢）、`r/s`、`w/s`（读写次数）。`iotop` 按进程查看 IO 使用。`dstat` 综合查看系统资源。	stack::linux::场景
iptables 的规则链和执行顺序是什么？	表（Tables）：filter（过滤，默认）、nat（NAT 转换）、mangle（包修改）。链（Chains）：INPUT（入站）、OUTPUT（出站）、FORWARD（转发）。规则执行顺序：从上到下匹配，匹配后停止。`iptables -A INPUT -p tcp --dport 22 -s 192.168.1.0/24 -j ACCEPT`（允许内网 SSH）。`iptables -A INPUT -p tcp --dport 80 -j ACCEPT`（允许 HTTP）。`iptables -P INPUT DROP`（默认拒绝入站）。`iptables -L -n -v` 查看规则及匹配计数。`iptables-save` 持久化规则。nftables 是 iptables 的下一代替代品。	stack::linux::代码
SSH 服务器安全加固有哪些措施？	① 禁用 root 登录：`PermitRootLogin no`；② 密钥认证替代密码：`PasswordAuthentication no`，`PubkeyAuthentication yes`；③ 修改默认端口：`Port 2222`（减少扫描攻击）；④ 限制登录用户：`AllowUsers alice bob`；⑤ 白名单 IP：`iptables -A INPUT -p tcp --dport 22 -s trusted_ip -j ACCEPT`；⑥ 登录失败限制：`fail2ban` 自动封禁密码暴力破解；⑦ 使用 SSH 协议版本 2（更安全）；⑧ 禁用空密码：`PermitEmptyPasswords no`。	stack::linux::场景
crontab 的 5 个时间字段如何配置？常见示例有哪些？	`分 时 日 月 周`（cron 表达式）。`* * * * *` 每分钟执行。`0 2 * * *` 每天凌晨 2 点。`*/5 * * * *` 每 5 分钟。`0 9-18 * * 1-5` 工作日 9 点到 18 点每小时。`0 0 1 * *` 每月 1 号零点。`crontab -e` 编辑，`crontab -l` 查看。注意事项：脚本需写绝对路径（`/usr/bin/python /home/script.py`），输出重定向（`>> /var/log/cron.log 2>&1`），环境变量有限（设置 `PATH` 和 `SHELL`）。`systemd-cron` 或 `systemd.timer` 是 systemd 替代方案。	stack::linux::代码
Nginx 的负载均衡策略有哪些？upstream 配置如何实现？	轮询（默认，依次分发）、加权轮询（`weight` 参数控制比例）、IP Hash（`ip_hash`，同一 IP 固定到同一台，解决 Session 问题）、Least Connections（`least_conn`，分给活跃连接最少的）。配置：`upstream backend { server 10.0.0.1:8080 weight=3; server 10.0.0.2:8080; server 10.0.0.3:8080 down; }`。健康检查：`max_fails=3 fail_timeout=30s` 自动摘除故障节点。`backup` 标记备用节点，主节点全挂时才启用。	stack::infrastructure::速记
Nacos 如何实现 AP 和 CP 模式切换？两种模式下各使用什么协议？	Nacos 默认 AP 模式（Distro 协议，最终一致性），适合服务发现（允许多少秒不一致）。支持切换到 CP 模式（Raft 协议，强一致性），适合配置中心（配置必须一致）。切换：`curl -X PUT 'http://localhost:8848/nacos/v1/ns/operator/switches?entry=serverMode&value=CP'`。Distro 协议：每个节点只负责一部分数据，写请求转发到目标节点，节点间异步复制。Raft 协议：Leader 选举，日志复制，多数派确认。AP 下 Nacos 每秒处理百万级心跳，CP 下性能略低但配置一致。	stack::infrastructure
Spring Cloud Gateway 的过滤器链执行顺序是如何确定的？GlobalFilter 和 GatewayFilter 有什么区别？	过滤器分为 GlobalFilter（全局生效，所有路由）和 GatewayFilter（路由级别，`filters` 配置）。执行顺序由 `order` 值决定：值越小优先级越高，先执行 pre 逻辑，然后反向执行 post 逻辑。`@Order` 注解或实现 `Ordered` 接口设置顺序。常见过滤器链：AddRequestHeader（加请求头）→ StripPrefix（去路径前缀）→ RateLimiter（限流）→ 目标服务（响应）→ 后置过滤器。自定义过滤器：实现 `GatewayFilter` 和 `Ordered`，在 `filter` 方法中写 `chain.filter(exchange).then(Mono.fromRunnable(() -> {}))`。	stack::infrastructure
Sentinel 的滑动窗口限流算法是如何实现的？	Sentinel 将时间划分为固定长度的时间窗口（如 1 秒），每个窗口内统计请求数。每个窗口有开始时间和统计计数器。统计当前时间所在的窗口，累加请求数，如果超过阈值则限流。窗口滑动：当前时间超过窗口结束时间时，创建新窗口，丢弃最旧的窗口。精度取决于窗口数量（如 1 秒分 2 个 500ms 窗口）。滑动窗口解决了固定窗口的边界突刺问题（如每分钟 100 次，第一秒 100 次+最后 999 秒 0 次，实际 1 秒内 100 次已超限）。Sentinel 支持 QPS/线程数/系统负载等多种限流维度。	stack::infrastructure
Seata AT 模式如何实现分布式事务？相比 TCC 有什么优势？	AT 模式（Automatic Transaction）：① TM 向 TC 开启全局事务，获取 XID；② RM 注册分支事务，执行本地 SQL（INSERT/UPDATE/DELETE），Seata 代理自动解析 SQL，生成前后镜像（Before Image/After Image）并记录到 undo_log 表；③ 所有 RM 执行成功，TM 通知 TC 提交全局事务；④ 任一 RM 失败，TC 通知所有 RM 回滚，RM 根据 undo_log 逆向补偿。对比 TCC：AT 无侵入（自动解析 SQL），无需业务实现 Try/Confirm/Cancel 三阶段。AT 适合 SQL 操作场景，TCC 适合非 SQL 资源（如 Redis、外部 API）。	stack::infrastructure
OpenFeign 是如何实现声明式 HTTP 调用的？	`@EnableFeignClients` 开启，`@FeignClient` 注解接口。Spring 在启动时扫描 `@FeignClient` 接口，通过 JDK 动态代理创建实现类。方法调用时，代理根据 `@RequestMapping`、`@PathVariable` 等注解构建 HTTP 请求 URL 和参数，通过 `Client` 执行（默认使用 HttpURLConnection，可替换为 OkHttpClient 或 Apache HttpClient）。集成 Ribbon 负载均衡（`@LoadBalanced`）：`openfeign.spring.cloud.codec` 配置。集成 Sentinel：`feign.sentinel.enabled=true` 开启熔断降级。	stack::infrastructure
Prometheus 的四种指标类型分别是什么？适用于什么场景？	Counter（只增不减，如请求总数、错误总数，用于计数）；Gauge（可增可减，如当前内存使用、CPU 使用率，用于快照值）；Histogram（直方图，如请求延迟分布 `{le=""0.1""}`，可计算 P50/P99）；Summary（类似 Histogram，但客户端计算分位数，更适合聚合前计算）。`rate(http_requests_total[5m])` 计算每秒请求速率。`histogram_quantile(0.99, rate(http_request_duration_seconds_bucket[5m]))` 计算 P99 延迟。`up{job=""myapp""}` 检查服务是否存活。	stack::infrastructure::速记
Grafana 面板的核心组件是什么？如何设计有效的监控面板？	核心组件：Dashboard（面板集合）、Panel（可视化组件，支持 Graph/Table/Stat/Bar Gauge/Heatmap）、Query（数据源查询，PromQL/SQL）、Alert（告警规则）。有效面板设计原则：① 按维度分层（基础设施层/JVM 层/业务层）；② 黄金指标（延迟/流量/错误率/饱和度）；③ 每个 Panel 有明确信息量（避免过多无用指标）；④ 设置告警阈值（P99 延迟 > 500ms 告警）；⑤ 关联日志（Grafana + Loki 日志关联 metrics）。`$__rate_interval` 自动选择合适的时间范围聚合。	stack::infrastructure::速记
ELK 日志系统的完整架构是怎样的？如何实现日志告警？	完整架构：Filebeat（轻量级采集器，读取日志文件）→ Logstash（数据转换/过滤，grok 解析）→ Elasticsearch（存储和索引）→ Kibana（可视化，查询日志）。Elasticsearch 集群：索引按天/月分（`logs-2024.01.01`），ILM 管理生命周期。告警：Elastic 8.x 内置 Alerting（Kibana 告警规则，触发条件满足时发送通知）。替代方案：Loki + Grafana（轻量级，不建立全文索引，适合 K8s 环境）。优化：Filebeat 采集时标记字段，减少 Logstash 处理压力。	stack::infrastructure::速记
SkyWalking 的链路追踪原理是什么？如何实现分布式追踪？	SkyWalking 通过 Java Agent（字节码注入）自动拦截 RPC 调用（HTTP/gRPC/DB/MQ），生成 Trace 和 Span。每个 Span 记录：TraceId（全局唯一链路 ID）、ParentSpanId（父 Span ID）、StartTime/EndTime（耗时）、Tags（服务名/方法/参数/异常）。Span 类型：EntrySpan（接收请求）、ExitSpan（发出请求）、LocalSpan（内部逻辑）。上报：Agent 通过 gRPC 上报到 OAP Server（Observability Analysis Platform），OAP 存储到 ES，UI 展示。`@Trace` 注解手动埋点。	stack::infrastructure
